1 Felis_wiedi_or_Leopardus_weidi
2 Tapirus_terrestris
3 Columba_livia
4 Falco_peregrinus
5 Lycosa_godeffroyi
6 Acridotheres_tristis
7 Ramphastos_tucanus
8 Vanellus_chilensis
9 Agelaius_phoeniceus
10 Larus_novaehollandiae
11 Lepilemur_rufescens
12 Chelodina_longicollis
13 Marmota_caligata
14 Acrobates_pygmaeus
15 Varanus_salvator
16 Marmota_caligata
17 Lophoaetus_occipitalis
18 Aquila_chrysaetos
19 Vulpes_vulpes
20 Crax_sp.
21 Taxidea_taxus
22 Salvadora_hexalepis
23 Haliaetus_vocifer
24 Turtur_chalcospilos
25 Isoodon_obesulus
26 Neotis_denhami
27 Canis_lupus_baileyi
28 Centrocercus_urophasianus
29 Martes_americana
30 Melophus_lathami
